OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
upsAdvBatteryActualVoltageTableIndex,1.3.6.1.4.1.318.1.1.1.2.2.12.1.1,integer,read-only,objecttype,column,"The Battery Frame identifier. Battery Frame index."
upsAdvBatteryActualVoltagePolarity,1.3.6.1.4.1.318.1.1.1.2.2.12.1.2,integer,read-only,objecttype,column,"The selected Battery Voltage Polarity. 0 indicates positive polarity. 1 indicates negative polarity."
upsAdvBatteryFrameActualVoltage,1.3.6.1.4.1.318.1.1.1.2.2.12.1.3,integer,read-only,objecttype,column,"The actual battery bus voltage in Volts."
upsAdvTotalDCCurrentTable,1.3.6.1.4.1.318.1.1.1.2.2.13,,no-access,objecttype,table,"A list of Battery Frame table entries. The number of entries is given by the value of Number of Battery Frames."
upsAdvTotalDCCurrentEntry,1.3.6.1.4.1.318.1.1.1.2.2.13.1,,no-access,objecttype,row,"An entry containing information applicable to a particular Battery Frame."
upsAdvTotalDCCurrentTableIndex,1.3.6.1.4.1.318.1.1.1.2.2.13.1.1,integer,read-only,objecttype,column,"The Battery Frame identifier. Total DC Current Table Index."
upsAdvTotalDCCurrentPolarity,1.3.6.1.4.1.318.1.1.1.2.2.13.1.2,integer,read-only,objecttype,column,"The selected Battery Current Polarity. 0 indicates positive polarity. 1 indicates negative polarity."
upsAdvTotalFrameDCCurrent,1.3.6.1.4.1.318.1.1.1.2.2.13.1.3,integer,read-only,objecttype,column," The Total DC Current of battery in Amperes."
upsAdvBatteryCurrentTable,1.3.6.1.4.1.318.1.1.1.2.2.14,,no-access,objecttype,table,"A list of Battery Frame table entries. The number of entries is given by number of Battery frames present."
upsAdvBatteryCurrentEntry,1.3.6.1.4.1.318.1.1.1.2.2.14.1,,no-access,objecttype,row,"An entry containing information applicable to a particular battery frame."
upsAdvBatteryCurrentTableIndex,1.3.6.1.4.1.318.1.1.1.2.2.14.1.1,integer,read-only,objecttype,column,"The Battery Frame identifier. Battery Current Table Index."
upsAdvBatteryCurrentIndex,1.3.6.1.4.1.318.1.1.1.2.2.14.1.2,integer,read-only,objecttype,column,"The battery frame identifier."
upsAdvBatteryCurrentPolarity,1.3.6.1.4.1.318.1.1.1.2.2.14.1.3,integer,read-only,objecttype,column,"The selected Battery current polarity. 0 indicates positive polarity. 1 indicates negative polarity"
upsAdvBatteryFrameCurrent,1.3.6.1.4.1.318.1.1.1.2.2.14.1.4,integer,read-only,objecttype,column,"The Battery current measured in Amperes"
upsHighPrecBattery,1.3.6.1.4.1.318.1.1.1.2.3,,,objectidentity,,""
upsHighPrecBatteryCapacity,1.3.6.1.4.1.318.1.1.1.2.3.1,gauge,read-only,objecttype,scalar,"The remaining battery capacity expressed in tenths of percent of full capacity."
upsHighPrecBatteryTemperature,1.3.6.1.4.1.318.1.1.1.2.3.2,gauge,read-only,objecttype,scalar,"The current internal UPS temperature expressed in tenths of degrees Celsius."
upsHighPrecBatteryNominalVoltage,1.3.6.1.4.1.318.1.1.1.2.3.3,integer,read-only,objecttype,scalar,"The nominal battery voltage in tenths of Volts."
upsHighPrecBatteryActualVoltage,1.3.6.1.4.1.318.1.1.1.2.3.4,integer,read-only,objecttype,scalar,"The actual battery bus voltage in tenths of Volts."
upsHighPrecBatteryCurrent,1.3.6.1.4.1.318.1.1.1.2.3.5,integer,read-only,objecttype,scalar,"The battery current in tenths of Amps."
upsHighPrecTotalDCCurrent,1.3.6.1.4.1.318.1.1.1.2.3.6,integer,read-only,objecttype,scalar,"The total DC current in tenths of Amps."
upsHighPrecBatteryActualVoltageTable,1.3.6.1.4.1.318.1.1.1.2.3.7,,no-access,objecttype,table,"A list of Battery frame table entries. The number of entries is given by the number of Battery frames."
upsHighPrecBatteryActualVoltageEntry,1.3.6.1.4.1.318.1.1.1.2.3.7.1,,no-access,objecttype,row,"An entry containing information applicable to a particular battery frame."
upsHighPrecBatteryActualVoltageTableIndex,1.3.6.1.4.1.318.1.1.1.2.3.7.1.1,integer,read-only,objecttype,column,"The Battery Frame identifier. High Precision Actual Voltage Table Index."
upsHighPrecBatteryActualVoltagePolarity,1.3.6.1.4.1.318.1.1.1.2.3.7.1.2,integer,read-only,objecttype,column,"The selected Battery Voltage polarity. 0 indicates positive polarity. 1 indicates negative polarity."
upsHighPrecBatteryVoltage,1.3.6.1.4.1.318.1.1.1.2.3.7.1.3,integer,read-only,objecttype,column,"The actual battery bus voltage expressed as tenths of Volts. "
upsHighPrecTotalDCCurrentTable,1.3.6.1.4.1.318.1.1.1.2.3.8,,no-access,objecttype,table,"A list of Battery Frame table entries. The number of entries is given by the number of battery frames."
upsHighPrecTotalDCCurrentEntry,1.3.6.1.4.1.318.1.1.1.2.3.8.1,,no-access,objecttype,row,"An entry containing information applicable to a particular battery frame."
upsHighPrecTotalDCCurrentTableIndex,1.3.6.1.4.1.318.1.1.1.2.3.8.1.1,integer,read-only,objecttype,column,"The Battery Frame identifier. High precision Total DC Current index."
upsHighPrecTotalDCCurrentPolarity,1.3.6.1.4.1.318.1.1.1.2.3.8.1.2,integer,read-only,objecttype,column,"The selected Battery Current polarity. 0 indicates positive polarity. 1 indicates negative polarity."
upsHighPrecTotalDCFrameCurrent,1.3.6.1.4.1.318.1.1.1.2.3.8.1.3,integer,read-only,objecttype,column,"The total DC current in tenths of Amperes. "
upsHighPrecBatteryCurrentTable,1.3.6.1.4.1.318.1.1.1.2.3.9,,no-access,objecttype,table,"A list of Battery Frame table entries. The number of entries is given by the number of battery frames."
upsHighPrecBatteryCurrentEntry,1.3.6.1.4.1.318.1.1.1.2.3.9.1,,no-access,objecttype,row,"An entry containing information applicable to a particular battery frame."
upsHighPrecBatteryCurrentTableIndex,1.3.6.1.4.1.318.1.1.1.2.3.9.1.1,integer,read-only,objecttype,column,"The Battery frame identifier. Battery Frame index."
upsHighPrecBatteryCurrentIndex,1.3.6.1.4.1.318.1.1.1.2.3.9.1.2,integer,read-only,objecttype,column,"The Battery frame identifier. Battery Index for each frame."
upsHighPrecBatteryCurrentPolarity,1.3.6.1.4.1.318.1.1.1.2.3.9.1.3,integer,read-only,objecttype,column,"The selected Battery Current polarity. 0 indicates positive polarity. 1 indicates negative polarity."
upsHighPrecBatteryFrameCurrent,1.3.6.1.4.1.318.1.1.1.2.3.9.1.4,integer,read-only,objecttype,column,"The Battery current in tenths of Amperes."
upsInput,1.3.6.1.4.1.318.1.1.1.3,,,objectidentity,,""
upsBasicInput,1.3.6.1.4.1.318.1.1.1.3.1,,,objectidentity,,""
upsBasicInputPhase,1.3.6.1.4.1.318.1.1.1.3.1.1,integer,read-only,objecttype,scalar,"The current AC input phase."
upsAdvInput,1.3.6.1.4.1.318.1.1.1.3.2,,,objectidentity,,""
upsAdvInputLineVoltage,1.3.6.1.4.1.318.1.1.1.3.2.1,gauge,read-only,objecttype,scalar,"The current utility line voltage in VAC."
upsAdvInputMaxLineVoltage,1.3.6.1.4.1.318.1.1.1.3.2.2,gauge,read-only,objecttype,scalar,"The maximum utility line voltage in VAC over the previous 1 minute period."
upsAdvInputMinLineVoltage,1.3.6.1.4.1.318.1.1.1.3.2.3,gauge,read-only,objecttype,scalar,"The minimum utility line voltage in VAC over the previous 1 minute period."
upsAdvInputFrequency,1.3.6.1.4.1.318.1.1.1.3.2.4,gauge,read-only,objecttype,scalar,"The current input frequency to the UPS system in Hz."
upsAdvInputLineFailCause,1.3.6.1.4.1.318.1.1.1.3.2.5,integer,read-only,objecttype,scalar,"The reason for the occurrence of the last transfer to UPS battery power. The variable is set to: - noTransfer(1) -- if there is no transfer yet. - highLineVoltage(2) -- if the transfer to battery is caused by an over voltage greater than the high transfer voltage. - brownout(3) -- if the duration of the outage is greater than five seconds and the line voltage is between 40% of the rated output voltage and the low transfer voltage. - blackout(4) -- if the duration of the outage is greater than five seconds and the line voltage is between 40% of the rated output voltage and ground. - smallMomentarySag(5) -- if the duration of the outage is less than five seconds and the line voltage is between 40% of the rated output voltage and the low transfer voltage. - deepMomentarySag(6) -- if the duration of the outage is less than five seconds and the line voltage is between 40% of the rated output voltage and ground. The variable is set to - smallMomentarySpike(7) -- if the line failure is caused by a rate of change of input voltage less than ten volts per cycle. - largeMomentarySpike(8) -- if the line failure is caused by a rate of change of input voltage greater than ten volts per cycle. - selfTest(9) -- if the UPS was commanded to do a self test. - rateOfVoltageChange(10) -- if the failure is due to the rate of change of the line voltage."
upsAdvInputNominalFrequency,1.3.6.1.4.1.318.1.1.1.3.2.6,integer,read-only,objecttype,scalar,"The nominal input frequency of the UPS system in Hz."
upsAdvInputNominalVoltage,1.3.6.1.4.1.318.1.1.1.3.2.7,integer,read-only,objecttype,scalar,"The nominal input voltage of the UPS system in VAC."
upsAdvInputBypassNominalFrequency,1.3.6.1.4.1.318.1.1.1.3.2.8,integer,read-only,objecttype,scalar,"The nominal bypass input frequency of the UPS system in Hz."
upsAdvInputBypassNominalVoltage,1.3.6.1.4.1.318.1.1.1.3.2.9,integer,read-only,objecttype,scalar,"The nominal bypass input voltage of the UPS system in VAC."
upsAdvInputStatisticsTable,1.3.6.1.4.1.318.1.1.1.3.2.10,,no-access,objecttype,table,"A list of input table entries. The number of entries is given by the value of upsPhaseNumInputs."
upsAdvInputStatisticsEntry,1.3.6.1.4.1.318.1.1.1.3.2.10.1,,no-access,objecttype,row,"An entry containing information applicable to a particular input."
upsAdvInputStatisticsIndex,1.3.6.1.4.1.318.1.1.1.3.2.10.1.1,integer,read-only,objecttype,column,"The input identifier."
upsAdvInputApparentPower,1.3.6.1.4.1.318.1.1.1.3.2.10.1.2,integer,read-only,objecttype,column,"The input apparent power(sum of all of the three phases) measured in kVA."
upsAdvInputVoltageTHD,1.3.6.1.4.1.318.1.1.1.3.2.10.1.3,integer,read-only,objecttype,column,"The input voltage Total Harmonic Distortion in percent."
upsAdvInputBypassVoltageTHD,1.3.6.1.4.1.318.1.1.1.3.2.10.1.4,integer,read-only,objecttype,column,"The bypass input voltage Total Harmonic Distortion in percent."
upsAdvInputPeakCurrent,1.3.6.1.4.1.318.1.1.1.3.2.10.1.5,integer,read-only,objecttype,column,"The input peak current in Amperes."
upsAdvInputBypassPeakCurrent,1.3.6.1.4.1.318.1.1.1.3.2.10.1.6,integer,read-only,objecttype,column,"The bypass input peak current in Amperes."
upsHighPrecInput,1.3.6.1.4.1.318.1.1.1.3.3,,,objectidentity,,""
upsHighPrecInputLineVoltage,1.3.6.1.4.1.318.1.1.1.3.3.1,gauge,read-only,objecttype,scalar,"The current utility line voltage in tenths of VAC."
upsHighPrecInputMaxLineVoltage,1.3.6.1.4.1.318.1.1.1.3.3.2,gauge,read-only,objecttype,scalar,"The maximum utility line voltage in tenths of VAC over the previous 1 minute period."
upsHighPrecInputMinLineVoltage,1.3.6.1.4.1.318.1.1.1.3.3.3,gauge,read-only,objecttype,scalar,"The minimum utility line voltage in tenths of VAC over the previous 1 minute period."
upsHighPrecInputFrequency,1.3.6.1.4.1.318.1.1.1.3.3.4,gauge,read-only,objecttype,scalar,"The current input frequency to the UPS system in tenths of Hz."
upsOutput,1.3.6.1.4.1.318.1.1.1.4,,,objectidentity,,""
upsBasicOutput,1.3.6.1.4.1.318.1.1.1.4.1,,,objectidentity,,""
upsBasicOutputStatus,1.3.6.1.4.1.318.1.1.1.4.1.1,integer,read-only,objecttype,scalar,"The current state of the UPS. If the UPS is unable to determine the state of the UPS this variable is set to unknown(1)."
upsBasicOutputPhase,1.3.6.1.4.1.318.1.1.1.4.1.2,integer,read-only,objecttype,scalar,"The current output phase."
upsBasicSystemStatus,1.3.6.1.4.1.318.1.1.1.4.1.3,integer,read-only,objecttype,scalar,"Current state for the whole system (UPS and surrounding breakers) If unable to determine the state of the system this variable is set to unknown(1)."
upsBasicSystemInternalTemperature,1.3.6.1.4.1.318.1.1.1.4.1.4,integer,read-only,objecttype,scalar,"The actual internal temperature of the UPS system in Celsius."
upsAdvOutput,1.3.6.1.4.1.318.1.1.1.4.2,,,objectidentity,,""
upsAdvOutputVoltage,1.3.6.1.4.1.318.1.1.1.4.2.1,gauge,read-only,objecttype,scalar,"The output voltage of the UPS system in VAC."
upsAdvOutputFrequency,1.3.6.1.4.1.318.1.1.1.4.2.2,gauge,read-only,objecttype,scalar,"The current output frequency of the UPS system in Hz."
upsAdvOutputLoad,1.3.6.1.4.1.318.1.1.1.4.2.3,gauge,read-only,objecttype,scalar,"The current UPS load expressed in percent of rated capacity."
upsAdvOutputCurrent,1.3.6.1.4.1.318.1.1.1.4.2.4,gauge,read-only,objecttype,scalar,"The current in amperes drawn by the load on the UPS."
upsAdvOutputRedundancy,1.3.6.1.4.1.318.1.1.1.4.2.5,gauge,read-only,objecttype,scalar,"The number of power modules which can fail or be removed without causing the UPS to generate a Minimum Redundancy Lost event."
upsAdvOutputKVACapacity,1.3.6.1.4.1.318.1.1.1.4.2.6,integer,read-only,objecttype,scalar,"The maximum load that this UPS can support."
upsAdvOutputNominalFrequency,1.3.6.1.4.1.318.1.1.1.4.2.7,integer,read-only,objecttype,scalar,"The nominal output frequency of the UPS system in Hz."
upsAdvOutputActivePower,1.3.6.1.4.1.318.1.1.1.4.2.8,integer,read-only,objecttype,scalar,"The total output active power of the UPS system in W. The total active power is the sum of phase 1, phase 2 and phase 3 power."
upsAdvOutputApparentPower,1.3.6.1.4.1.318.1.1.1.4.2.9,integer,read-only,objecttype,scalar,"The total output apparent power of all phases of the UPS system in VA."
upsAdvOutputStatisticsTable,1.3.6.1.4.1.318.1.1.1.4.2.10,,no-access,objecttype,table,"A list of input table entries. The number of entries is given by the value of upsPhaseNumOutputs."
upsAdvOutputStatisticsEntry,1.3.6.1.4.1.318.1.1.1.4.2.10.1,,no-access,objecttype,row,"An entry containing information applicable to a particular output."
upsAdvOutputStatisticsIndex,1.3.6.1.4.1.318.1.1.1.4.2.10.1.1,integer,read-only,objecttype,column,"The output identifier."
upsAdvOutputPeakCurrent,1.3.6.1.4.1.318.1.1.1.4.2.10.1.2,integer,read-only,objecttype,column,"The output peak current in Amperes."
upsAdvOutputCurrentTHD,1.3.6.1.4.1.318.1.1.1.4.2.10.1.3,integer,read-only,objecttype,column,"The output current Total Harmonic Distortion in percent."
upsAdvOutputCrestFactor,1.3.6.1.4.1.318.1.1.1.4.2.10.1.4,integer,read-only,objecttype,column,"The output current crest factor expressed in tenths."
upsHighPrecOutput,1.3.6.1.4.1.318.1.1.1.4.3,,,objectidentity,,""
upsHighPrecOutputVoltage,1.3.6.1.4.1.318.1.1.1.4.3.1,gauge,read-only,objecttype,scalar,"The output voltage of the UPS system in tenths of VAC."
upsHighPrecOutputFrequency,1.3.6.1.4.1.318.1.1.1.4.3.2,gauge,read-only,objecttype,scalar,"The current output frequency of the UPS system in tenths of Hz."
upsHighPrecOutputLoad,1.3.6.1.4.1.318.1.1.1.4.3.3,gauge,read-only,objecttype,scalar,"The current UPS load expressed in tenths of percent of rated capacity."
upsHighPrecOutputCurrent,1.3.6.1.4.1.318.1.1.1.4.3.4,gauge,read-only,objecttype,scalar,"The current in tenths of amperes drawn by the load on the UPS."
upsHighPrecOutputEfficiency,1.3.6.1.4.1.318.1.1.1.4.3.5,integer32,read-only,objecttype,scalar,"The efficiency of the UPS in tenths of percent. Result is -1 if UPS supports this oid but the result is not available."
upsHighPrecOutputEnergyUsage,1.3.6.1.4.1.318.1.1.1.4.3.6,unsigned32,read-only,objecttype,scalar,"The output energy usage of the UPS in hundredths of kWh."
upsConfig,1.3.6.1.4.1.318.1.1.1.5,,,objectidentity,,""
upsBasicConfig,1.3.6.1.4.1.318.1.1.1.5.1,,,objectidentity,,""
upsBasicConfigNumDevices,1.3.6.1.4.1.318.1.1.1.5.1.1,integer,read-only,objecttype,scalar,"The number of devices that are plugged into the UPS."
upsBasicConfigDeviceTable,1.3.6.1.4.1.318.1.1.1.5.1.2,,no-access,objecttype,table,"A list of devices that are plugged into the UPS. The number of entries is given by the value of upsBasicConfigNumDevices."
upsBasicConfigDeviceEntry,1.3.6.1.4.1.318.1.1.1.5.1.2.1,,no-access,objecttype,row,"The devices plugged in to the UPS."
deviceIndex,1.3.6.1.4.1.318.1.1.1.5.1.2.1.1,integer,read-only,objecttype,column,"The index of the device that is plugged into the UPS."
deviceName,1.3.6.1.4.1.318.1.1.1.5.1.2.1.2,displaystring,read-write,objecttype,column,"The name/description of the device plugged into the UPS."
vaRating,1.3.6.1.4.1.318.1.1.1.5.1.2.1.3,integer,read-write,objecttype,column,"The volt-amp rating of the device plugged into the UPS."
acceptThisDevice,1.3.6.1.4.1.318.1.1.1.5.1.2.1.4,integer,read-write,objecttype,column,"An entry is added if yes, the entry is deleted if no."
upsAdvConfig,1.3.6.1.4.1.318.1.1.1.5.2,,,objectidentity,,""
upsAdvConfigRatedOutputVoltage,1.3.6.1.4.1.318.1.1.1.5.2.1,integer,read-write,objecttype,scalar,"The nominal output voltage from the UPS in VAC. For a list of allowed values supported by your UPS model, see the UPS User's Manual. If a value other than a supported value is provided in a set request, the UPS interprets it as the next lower acceptable value. If the provided value is lower than the lowest acceptable value, the lowest acceptable value is used."
upsAdvConfigHighTransferVolt,1.3.6.1.4.1.318.1.1.1.5.2.2,integer,read-write,objecttype,scalar,"The maximum line voltage in VAC allowed before the UPS system transfers to battery backup. For a list of allowed values supported by your UPS model, see the UPS User's Manual. If a value other than a supported value is provided in a set request, the UPS interprets it as a the next higher acceptable value. If the provided value is higher than the highest acceptable value, the highest acceptable value is used."
upsAdvConfigLowTransferVolt,1.3.6.1.4.1.318.1.1.1.5.2.3,integer,read-write,objecttype,scalar,"The minimum line voltage in VAC allowed before the UPS system transfers to battery backup. For a list of allowed values supported by your UPS model, see the UPS User's Manual. If a value other than a supported value is provided in a set request, the UPS interprets it as the next lower acceptable value. If the provided value is lower than the lowest acceptable value, the lowest acceptable value is used."
upsAdvConfigAlarm,1.3.6.1.4.1.318.1.1.1.5.2.4,integer,read-write,objecttype,scalar,"A flag indicating how the UPS should handle audible line fail alarms: timed(1): UPS alarm will sound after a preset timed duration starting from the line fail condition (see OID upsAdvConfigAlarmTimer for the alarm timer value) atLowBattery(2): UPS alarm will sound when the UPS has reached a Low Battery condition during a line fail never(3): Disables the UPS audible alarm mute(4): Mutes the current alarm for some UPSs only when it is in an alarm state and will return to the previously configured option when the UPS recovers from the alarm condition"
upsAdvConfigAlarmTimer,1.3.6.1.4.1.318.1.1.1.5.2.5,timeticks,read-write,objecttype,scalar,"The time after initial line failure at which the UPS begins emitting audible alarms (beeping). This timer is observed only if the value of extControlAlarm is timed(2). Allowed values are 0 or 30 seconds. If a value other than a supported value is provided in a set request, the UPS interprets it as a the next lower acceptable value. If the provided value is lower than the lowest acceptable value, the lowest acceptable value is used."
upsAdvConfigMinReturnCapacity,1.3.6.1.4.1.318.1.1.1.5.2.6,integer,read-write,objecttype,scalar,"The minimum battery capacity required before the UPS will return from a low battery shutdown condition. The capacity is measured from 0% battery capacity (or Low Battery) as a percent of full capacity (100%). In other words, the UPS will not re-energize the output until the battery has charged so that its' capacity is equal to this value. For a list of allowed values supported by your UPS model, see the UPS User's Manual. If a value other than a supported value is provided in a set request, the UPS interprets it as a the next higher acceptable value. If the provided value is higher than the highest acceptable value, the highest acceptable value is used."
upsAdvConfigSensitivity,1.3.6.1.4.1.318.1.1.1.5.2.7,integer,read-write,objecttype,scalar,"The sensitivity of the UPS to utility line abnormalities or noises."
upsAdvConfigLowBatteryRunTime,1.3.6.1.4.1.318.1.1.1.5.2.8,timeticks,read-write,objecttype,scalar,"The desired run time of the UPS, in seconds, once the low battery condition is reached. During this time the UPS will produce a constant warning tone which can not be disabled. For a list of allowed values supported by your UPS model, see the UPS User's Manual. If a value other than a supported value is provided in a set request, the UPS interprets the value as the next higher acceptable value. If the provided value is higher than the highest acceptable value, the highest acceptable value is used."
upsAdvConfigReturnDelay,1.3.6.1.4.1.318.1.1.1.5.2.9,timeticks,read-write,objecttype,scalar,"The delay in seconds after utility line power returns before the UPS will turn on. This value is also used when the UPS comes out of a reboot and before the UPS wakes up from 'sleep' mode. For a list of allowed values supported by your UPS model, see the UPS User's Manual. If a value other than a supported value is provided in a set request, the UPS interprets it as a the next higher acceptable value. If the provided value is higher than the highest acceptable value, the highest acceptable value is used."
upsAdvConfigShutoffDelay,1.3.6.1.4.1.318.1.1.1.5.2.10,timeticks,read-write,objecttype,scalar,"The delay in seconds the UPS remains on after being told to turn off. For a list of allowed values supported by your UPS model, see the UPS User's Manual. If a value other than a supported value is provided in a set request, the UPS interprets it as a the next higher acceptable value. If the provided value is higher than the highest acceptable value, the highest acceptable value is used."
upsAdvConfigUpsSleepTime,1.3.6.1.4.1.318.1.1.1.5.2.11,timeticks,read-write,objecttype,scalar,"The time in seconds for the UPS to go to 'sleep' when instructed. When in sleep mode, the UPS will not provide output power regardless of the input line state. Once the specified time has elapsed, output power will be restored. This is a configuration setting. The UPS will not go to sleep until told to do so by the manager from a management station. Any input value is allowed, however the UPS only recognizes 1/10 of an hour increments. The provided value will be rounded to the closest 1/10 of an hour with one exception: Any value entered between 1 and 540 seconds will be rounded to 360 seconds (or 6 minutes)."
upsAdvConfigSetEEPROMDefaults,1.3.6.1.4.1.318.1.1.1.5.2.12,integer,read-write,objecttype,scalar,"WRITE: Resets the UPS EEPROM variables to default values. READ: returns 0"
upsAdvConfigDipSwitchTable,1.3.6.1.4.1.318.1.1.1.5.2.13,,no-access,objecttype,table,"Current settings of UPS dip switches."
upsAdvConfigDipSwitchEntry,1.3.6.1.4.1.318.1.1.1.5.2.13.1,,no-access,objecttype,row,"The current setting of one dip switch."
dipSwitchIndex,1.3.6.1.4.1.318.1.1.1.5.2.13.1.1,integer,read-only,objecttype,column,"The index of a UPS dip switch."
dipSwitchStatus,1.3.6.1.4.1.318.1.1.1.5.2.13.1.2,integer,read-only,objecttype,column,"The setting of a UPS dip switch."
upsAdvConfigBattExhaustThresh,1.3.6.1.4.1.318.1.1.1.5.2.14,timeticks,read-write,objecttype,scalar,"The number of seconds prior to battery exhaustion when the UPS will switch off power to its load."
upsAdvConfigPassword,1.3.6.1.4.1.318.1.1.1.5.2.15,displaystring,read-write,objecttype,scalar,"The password entered at the UPS front panel to enable local configuration of the EEProm. If the password is disabled or is not supported, then the agent returns a null string."
upsAdvConfigAllowedSetTable,1.3.6.1.4.1.318.1.1.1.5.2.16,,no-access,objecttype,table,"The table listing the allowed values for all discrete configurable UPS variables."
upsAdvConfigAllowedSetEntry,1.3.6.1.4.1.318.1.1.1.5.2.16.1,,no-access,objecttype,row,"The table entry for a configurable UPS variable."
